input,cores,runn1,runn2,runn3,runn4,runn5
1500,1,0.027362,0.027431,0.026694,0.026639,0.020088
1500,2,0.017978,0.019245,0.017944,0.017199,0.018245
1500,4,0.017988,0.017968,0.018440,0.018798,0.018891
1500,8,0.016965,0.017262,0.017011,0.018135,0.018065
1500,12,0.019352,0.020159,0.018170,0.018097,0.017997
1500,16,0.018579,0.017727,0.018022,0.017092,0.017513
1500,20,0.018975,0.017560,0.017608,0.017690,0.016993
1500,24,0.018707,0.017870,0.017981,0.018058,0.017002
1500,28,0.017871,0.017899,0.018128,0.020140,0.018838
1500,32,0.018088,0.018376,0.017887,0.017571,0.017646
1500,36,0.018088,0.018329,0.017471,0.018220,0.018263
1500,40,0.017461,0.018192,0.017468,0.018169,0.018378
1500,44,0.020219,0.017493,0.018250,0.018700,0.018345
1500,48,0.018864,0.017479,0.018672,0.018182,0.017625
1500,52,0.017682,0.017560,0.018629,0.019089,0.018284
1500,56,0.017971,0.017616,0.018062,0.018180,0.017451
1500,60,0.017613,0.017386,0.017480,0.017454,0.017452
1500,64,0.018089,0.017476,0.017475,0.017457,0.017887
3000,1,0.077227,0.077585,0.077873,0.076491,0.077174
3000,2,0.077427,0.074725,0.078108,0.076782,0.079747
3000,4,0.083748,0.078150,0.074776,0.078213,0.077453
3000,8,0.079722,0.079590,0.076020,0.075010,0.080486
3000,12,0.079307,0.078641,0.075942,0.075413,0.078452
3000,16,0.078515,0.075414,0.074887,0.079925,0.077870
3000,20,0.078491,0.077951,0.079018,0.082505,0.076811
3000,24,0.079647,0.079081,0.079698,0.078831,0.077265
3000,28,0.080608,0.078955,0.079826,0.078402,0.078963
3000,32,0.076698,0.079828,0.077379,0.078519,0.078886
3000,36,0.080142,0.078111,0.078301,0.082767,0.080571
3000,40,0.079144,0.079473,0.077260,0.077501,0.079633
3000,44,0.077224,0.079467,0.078880,0.077434,0.078959
3000,48,0.080205,0.077758,0.078956,0.076705,0.080237
3000,52,0.079961,0.080074,0.079862,0.077295,0.079593
3000,56,0.079067,0.077446,0.078732,0.080405,0.081616
3000,60,0.079587,0.079574,0.077196,0.080270,0.077483
3000,64,0.082258,0.080469,0.080929,0.077549,0.078413
10000,1,1.029810,1.047974,1.055698,1.047018,1.086196
10000,2,